"States","Pcrime","Unemployment"
"South Dakota ",1881,4.8
"New York",2005,8.4
"Idaho ",2089,8
"North Dakota ",2143,4.3
"New Hampshire ",2218,6.3
"New Jersey",2291,9.2
"Massachusetts",2393,8.4
"Pennsylvania",2425,8.1
"Maine ",2464,8
"Connecticut ",2491,8.2
"Iowa ",2522,6
"Virginia ",2536,6.7
"Vermont ",2620,6.9
"Kentucky  ",2705,10.5
"West Virginia ",2718,7.9
"Wyoming ",2720,6.4
"Montana  ",2733,6.2
"Wisconsin ",2770,8.5
"Colorado ",2819,7.7
"Rhode Island ",2845,11.2
"Minnesota",2893,8
"Alaska ",2920,8
"California ",2940,11.4
"Nebraska ",2952,4.6
"Michigan",2970,13.6
"Mississippi ",3287,9.6
"Oregon ",3350,11.1
"Kansas  ",3385,6.7
"Utah",3395,6.6
"Nevada ",3456,11.8
"Illinois",3498,10.1
"Maryland ",3516,7
"Oklahoma ",3525,6.4
"Hawaii ",3567,6.8
"Indiana ",3571,10.1
"Delaware ",3595,8.1
"Ohio ",3597,10.2
"Missouri ",3682,9.3
"Louisiana ",3780,6.8
"Washington ",3784,8.9
"Arizona ",3806,9.1
"Arkansas",3911,7.3
"New Mexico ",3924,7.2
"Texas ",3986,7.6
"Tennessee ",4028,10.5
"Georgia ",4069,9.6
"Florida ",4141,10.5
"North Carolina ",4156,10.6
"Alabama ",4193,10.1
"South Carolina ",4211,11.7
"Wash_DC",5105,10.2
